,WindowSize,EmbedDimen,VocabSize,SeqLen,NegativeSample,TrainingDataSize,AccuracyTrain,LossTrain,AccuracyTest,LossTest,RunTime
30,4,16,6905,10,8,88801,0.5900701880455017,1.350898027420044,0.1849149763584137,2.24704647064209,5
31,4,64,6905,10,8,88986,0.9169355630874634,0.4891916811466217,0.20708869397640228,2.5238595008850098,13
32,4,128,6905,10,8,88712,0.9709295630455017,0.2326815277338028,0.21185661852359772,2.6520373821258545,21
33,4,256,6905,10,8,89646,0.9800083637237549,0.1305619776248932,0.21335017681121826,2.823519229888916,41
34,4,512,6905,10,8,88786,0.9829879999160767,0.09180711954832077,0.21541820466518402,2.932199478149414,78
35,5,16,6905,10,8,92598,0.573486328125,1.3694709539413452,0.1864149272441864,2.255369186401367,6
36,5,64,6905,10,8,92468,0.9103596806526184,0.5054050087928772,0.2067599892616272,2.4965834617614746,14
37,5,128,6905,10,8,92550,0.9675971269607544,0.24043229222297668,0.2179904580116272,2.649245262145996,21
38,5,256,6905,10,8,93671,0.978515625,0.13262450695037842,0.2152777761220932,2.827813148498535,45
39,5,512,6905,10,8,93138,0.9814046025276184,0.09582670778036118,0.22412109375,2.9105474948883057,82
40,2,16,6905,10,16,63686,0.4880620241165161,1.8622716665267944,0.113525390625,2.8663442134857178,4
41,2,64,6905,10,16,64083,0.8653320074081421,0.7556139230728149,0.1348470002412796,3.1391611099243164,10
42,2,128,6905,10,16,63842,0.9481624960899353,0.37957632541656494,0.1381022185087204,3.325671911239624,17
43,2,256,6905,10,16,63956,0.9655014276504517,0.2157241255044937,0.1305338591337204,3.56033992767334,35
44,2,512,6905,10,16,63720,0.9677734375,0.15976965427398682,0.1380208283662796,3.7129833698272705,66
45,3,16,6905,10,16,80852,0.4456070065498352,1.9066697359085083,0.11562500149011612,2.904407262802124,7
46,3,64,6905,10,16,80040,0.8463489413261414,0.7882357835769653,0.13170573115348816,3.2128117084503174,12
47,3,128,6905,10,16,81851,0.9345393180847168,0.4024491012096405,0.13339844346046448,3.441422462463379,21
48,3,256,6905,10,16,80676,0.9518384337425232,0.24448195099830627,0.13697916269302368,3.6476800441741943,43
49,3,512,6905,10,16,81062,0.9575737714767456,0.1798115074634552,0.14108072221279144,3.864370584487915,989
50,4,16,6905,10,16,89074,0.42699840664863586,1.9330919981002808,0.11184512823820114,2.9021472930908203,6
51,4,64,6905,10,16,90318,0.8335239887237549,0.8118261694908142,0.13258272409439087,3.223938465118408,13
52,4,128,6905,10,16,89423,0.9267295002937317,0.4158671498298645,0.1360868513584137,3.448842763900757,286
53,4,256,6905,10,16,89737,0.9444056749343872,0.2576196789741516,0.14470358192920685,3.675257682800293,50
54,4,512,6905,10,16,89504,0.948836624622345,0.1991436779499054,0.1438993513584137,3.889120578765869,96
55,5,16,6905,10,16,93397,0.423095703125,1.9373613595962524,0.1122504323720932,2.9015893936157227,9
56,5,64,6905,10,16,93063,0.8263481855392456,0.8304224610328674,0.1356336772441864,3.2276699542999268,19
57,5,128,6905,10,16,92561,0.9221598505973816,0.42728230357170105,0.1448025107383728,3.420069456100464,36
58,5,256,6905,10,16,92757,0.9429524540901184,0.26254716515541077,0.1445855051279068,3.677534818649292,65
59,5,512,6905,10,16,92370,0.9454752802848816,0.20739829540252686,0.1461046040058136,3.9234209060668945,104
60,2,16,6905,10,32,63436,0.33215081691741943,2.5040249824523926,0.0701497420668602,3.5333855152130127,8
61,2,64,6905,10,32,63702,0.7663225531578064,1.1409536600112915,0.08447265625,3.89634108543396,14
62,2,128,6905,10,32,63713,0.8989955186843872,0.5925027132034302,0.0904947891831398,4.143445014953613,27
63,2,256,6905,10,32,63431,0.9225525856018066,0.36888742446899414,0.0945638045668602,4.40270471572876,46
64,2,512,6905,10,32,63812,0.9267179369926453,0.286857932806015,0.0965169295668602,4.742722988128662,91
65,3,16,6905,10,32,81256,0.301494300365448,2.531602144241333,0.07187499850988388,3.5724568367004395,10
66,3,64,6905,10,32,80392,0.7467237710952759,1.1671946048736572,0.087890625,3.9224019050598145,16
67,3,128,6905,10,32,80184,0.8761813044548035,0.6341850161552429,0.0891927108168602,4.213521480560303,29
68,3,256,6905,10,32,80147,0.8997133374214172,0.4140543043613434,0.0914713516831398,4.561592102050781,56
69,3,512,6905,10,32,80919,0.9046223759651184,0.3372085690498352,0.0927734375,4.944311618804932,108
70,4,16,6905,10,32,89284,0.2892889380455017,2.5634102821350098,0.06611902266740799,3.566718339920044,10
71,4,64,6905,10,32,89015,0.7279778122901917,1.2134898900985718,0.08835018426179886,3.9217748641967773,19
72,4,128,6905,10,32,89523,0.8587522506713867,0.6742672324180603,0.09616268426179886,4.193620681762695,34
73,4,256,6905,10,32,89117,0.8886152505874634,0.44412851333618164,0.09501378983259201,4.568953514099121,65
74,4,512,6905,10,32,89579,0.8923941254615784,0.36582425236701965,0.10161994397640228,4.957855701446533,120
75,5,16,6905,10,32,92221,0.2865668535232544,2.5591681003570557,0.0716145858168602,3.5643415451049805,9
76,5,64,6905,10,32,92580,0.7204861044883728,1.2242873907089233,0.0924479141831398,3.91796875,19
77,5,128,6905,10,32,92724,0.8537326455116272,0.6859585642814636,0.0946723073720932,4.250663757324219,34
78,5,256,6905,10,32,92432,0.8808186650276184,0.4609174132347107,0.0963541641831398,4.588869571685791,66
79,5,512,6905,10,32,93100,0.8840874433517456,0.3871806561946869,0.0966254323720932,4.967794418334961,125
